Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Neuroepigenetic signatures of age and sex in the living human brain.","/pubmed/31270332","Gilbert TM, Zürcher NR, Catanese MC, Tseng CJ, Di Biase MA, Lyall AE, Hightower BG, Parmar AJ, Bhanot A, Wu CJ, Hibert ML, Kim M, Mahmood U, Stufflebeam SM, Schroeder FA, Wang C, Roffman JL, Holt DJ, Greve DN, Pasternak O, Kubicki M, Wey HY, et al.","Nat Commun. 2019 Jul 3;10(1):2945. doi: 10.1038/s41467-019-11031-0.","Nat Commun.  2019","PubMed","citation","PMID:31270332 | PMCID:PMC6610136","pubmed","31270332","create date:2019/07/05 | first author:Gilbert TM",
"Structural and functional neuroimaging studies in generalized anxiety disorder: a systematic review.","/pubmed/31116259","Madonna D, Delvecchio G, Soares JC, Brambilla P.","Braz J Psychiatry. 2019 Jul-Aug;41(4):336-362. doi: 10.1590/1516-4446-2018-0108. Epub 2019 May 16.","Braz J Psychiatry.  2019","PubMed","citation","PMID:31116259","pubmed","31116259","create date:2019/05/23 | first author:Madonna D",
"The effects of diffusion and perfusion MRI mismatch on the admission blood glucose and blood pressure values measured in the first 12 hours of acute stroke.","/pubmed/31261574","Gür-Özmen S, Güngör-Tunçer Ö, Krespi Y.","Medicine (Baltimore). 2019 Jun;98(26):e16212. doi: 10.1097/MD.0000000000016212.","Medicine (Baltimore).  2019","PubMed","citation","PMID:31261574 | PMCID:PMC6617228","pubmed","31261574","create date:2019/07/03 | first author:Gür-Özmen S",
"Neuroimaging correlates of lateral postural control in older ambulatory adults.","/pubmed/30168099","Massa RE, Rosso A, Metti AL, Sparto PJ, Aizenstein H, Ferrucci L, Divecha A, Rosano C; Health ABC Study..","Aging Clin Exp Res. 2019 May;31(5):611-619. doi: 10.1007/s40520-018-1028-4. Epub 2018 Aug 28.","Aging Clin Exp Res.  2019","PubMed","citation","PMID:30168099 | PMCID:PMC6573008","pubmed","30168099","create date:2018/09/01 | first author:Massa RE",
"Decreased Mean Kurtosis in the Putamen is a Diagnostic Feature of Minimal Hepatic Encephalopathy in Patients with Cirrhosis.","/pubmed/30626839","Sato T, Endo K, Kakisaka K, Suzuki Y, Kooka Y, Sawara K, Ito K, Sasaki M, Takikawa Y.","Intern Med. 2019 May 1;58(9):1217-1224. doi: 10.2169/internalmedicine.2116-18. Epub 2019 Jan 10.","Intern Med.  2019","PubMed","citation","PMID:30626839 | PMCID:PMC6543222","pubmed","30626839","create date:2019/01/11 | first author:Sato T",
"Cognitive impairment in patients with end-stage renal disease: Accelerated brain aging?","/pubmed/30744935","Chiu YL, Tsai HH, Lai YJ, Tseng HY, Wu YW, Peng YS, Chiu CM, Chuang YF.","J Formos Med Assoc. 2019 May;118(5):867-875. doi: 10.1016/j.jfma.2019.01.011. Epub 2019 Feb 7.","J Formos Med Assoc.  2019","PubMed","citation","PMID:30744935","pubmed","30744935","create date:2019/02/13 | first author:Chiu YL",
"Structural and functional connectivity of ascending reticular activating system in a patient with impaired consciousness after a cardiac arrest: A case report.","/pubmed/31083258","Parra-Morales AM, Rudas J, Vargas JA, Gómez F, Enciso-Olivera CO, Trujillo-Rodriguez D, Martínez D, Hernandez J, Ordóñez-Rubiano EG, Marín-Muñoz JH.","Medicine (Baltimore). 2019 May;98(19):e15620. doi: 10.1097/MD.0000000000015620.","Medicine (Baltimore).  2019","PubMed","citation","PMID:31083258 | PMCID:PMC6531277","pubmed","31083258","create date:2019/05/15 | first author:Parra-Morales AM",
"Evolutionary expansion of connectivity between multimodal association areas in the human brain compared with chimpanzees.","/pubmed/30886094","Ardesch DJ, Scholtens LH, Li L, Preuss TM, Rilling JK, van den Heuvel MP.","Proc Natl Acad Sci U S A. 2019 Apr 2;116(14):7101-7106. doi: 10.1073/pnas.1818512116. Epub 2019 Mar 18. Erratum in: Proc Natl Acad Sci U S A. 2019 Apr 29;:. ","Proc Natl Acad Sci U S A.  2019","PubMed","citation","PMID:30886094 | PMCID:PMC6452697","pubmed","30886094","create date:2019/03/20 | first author:Ardesch DJ",
"Local-to-distant development of the cerebrocerebellar sensorimotor network in the typically developing human brain: a functional and diffusion MRI study.","/pubmed/30729998","Amemiya K, Morita T, Saito DN, Ban M, Shimada K, Okamoto Y, Kosaka H, Okazawa H, Asada M, Naito E.","Brain Struct Funct. 2019 Apr;224(3):1359-1375. doi: 10.1007/s00429-018-01821-5. Epub 2019 Feb 7.","Brain Struct Funct.  2019","PubMed","citation","PMID:30729998 | PMCID:PMC6499876","pubmed","30729998","create date:2019/02/08 | first author:Amemiya K",
"Interferon-alpha-Induced Changes in NODDI Predispose to the Development of Fatigue.","/pubmed/29292074","Dowell NG, Bouyagoub S, Tibble J, Voon V, Cercignani M, Harrison NA.","Neuroscience. 2019 Apr 1;403:111-117. doi: 10.1016/j.neuroscience.2017.12.040. Epub 2017 Dec 29.","Neuroscience.  2019","PubMed","citation","PMID:29292074 | PMCID:PMC6458994","pubmed","29292074","create date:2018/01/03 | first author:Dowell NG",
