Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
"Interventional recanalization as a treatment of carotid stump syndrome caused by right internal carotid artery occlusion: A case report.",/pubmed/31574821,"Xu Z, Wang J, Luo B.",Medicine (Baltimore). 2019 Sep;98(39):e17152. doi: 10.1097/MD.0000000000017152.,Medicine (Baltimore).  2019,PubMed,citation,PMID:31574821 | PMCID:PMC6775342,pubmed,31574821,create date:2019/10/03 | first author:Xu Z,
"Diffusion tensor imaging in middle-aged headache sufferers in the general population: a cross-sectional population-based imaging study in the Nord-Trøndelag health study (HUNT-MRI).",/pubmed/31291903,"Kattem Husøy A, Eikenes L, Håberg AK, Hagen K, Stovner LJ.",J Headache Pain. 2019 Jul 10;20(1):78. doi: 10.1186/s10194-019-1028-6.,J Headache Pain.  2019,PubMed,citation,PMID:31291903 | PMCID:PMC6734377,pubmed,31291903,create date:2019/07/12 | first author:Kattem Husøy A,
"The effects of diffusion and perfusion MRI mismatch on the admission blood glucose and blood pressure values measured in the first 12 hours of acute stroke.",/pubmed/31261574,"Gür-Özmen S, Güngör-Tunçer Ö, Krespi Y.",Medicine (Baltimore). 2019 Jun;98(26):e16212. doi: 10.1097/MD.0000000000016212.,Medicine (Baltimore).  2019,PubMed,citation,PMID:31261574 | PMCID:PMC6617228,pubmed,31261574,create date:2019/07/03 | first author:Gür-Özmen S,
"Structural and functional neuroimaging studies in generalized anxiety disorder: a systematic review.",/pubmed/31116259,"Madonna D, Delvecchio G, Soares JC, Brambilla P.",Braz J Psychiatry. 2019 Jul-Aug;41(4):336-362. doi: 10.1590/1516-4446-2018-0108. Epub 2019 May 16.,Braz J Psychiatry.  2019,PubMed,citation,PMID:31116259 | PMCID:PMC6804309,pubmed,31116259,create date:2019/05/23 | first author:Madonna D,
"Structural and functional connectivity of ascending reticular activating system in a patient with impaired consciousness after a cardiac arrest: A case report.",/pubmed/31083258,"Parra-Morales AM, Rudas J, Vargas JA, Gómez F, Enciso-Olivera CO, Trujillo-Rodriguez D, Martínez D, Hernandez J, Ordóñez-Rubiano EG, Marín-Muñoz JH.",Medicine (Baltimore). 2019 May;98(19):e15620. doi: 10.1097/MD.0000000000015620.,Medicine (Baltimore).  2019,PubMed,citation,PMID:31083258 | PMCID:PMC6531277,pubmed,31083258,create date:2019/05/15 | first author:Parra-Morales AM,
"Complexities of connectivity-based DBS targeting: Rebirth of the debate on thalamic and subthalamic treatment of tremor.",/pubmed/30987840,"Middlebrooks EH, Grewal SS, Holanda VM.",Neuroimage Clin. 2019;22:101761. doi: 10.1016/j.nicl.2019.101761. Epub 2019 Mar 20. No abstract available. ,Neuroimage Clin.  2019,PubMed,citation,PMID:30987840 | PMCID:PMC6543122,pubmed,30987840,create date:2019/04/17 | first author:Middlebrooks EH,
"Application of a machine learning method to whole brain white matter injury after radiotherapy for nasopharyngeal carcinoma.",/pubmed/30909974,"Leng X, Fang P, Lin H, Qin C, Tan X, Liang Y, Zhang C, Wang H, An J, Wu D, Liu Q, Qiu S.",Cancer Imaging. 2019 Mar 25;19(1):19. doi: 10.1186/s40644-019-0203-y.,Cancer Imaging.  2019,PubMed,citation,PMID:30909974 | PMCID:PMC6434635,pubmed,30909974,create date:2019/03/27 | first author:Leng X,
"Evolutionary expansion of connectivity between multimodal association areas in the human brain compared with chimpanzees.",/pubmed/30886094,"Ardesch DJ, Scholtens LH, Li L, Preuss TM, Rilling JK, van den Heuvel MP.",Proc Natl Acad Sci U S A. 2019 Apr 2;116(14):7101-7106. doi: 10.1073/pnas.1818512116. Epub 2019 Mar 18. Erratum in: Proc Natl Acad Sci U S A. 2019 Apr 29;:. ,Proc Natl Acad Sci U S A.  2019,PubMed,citation,PMID:30886094 | PMCID:PMC6452697,pubmed,30886094,create date:2019/03/20 | first author:Ardesch DJ,
"Probabilistic independent component analysis of dynamic susceptibility contrast perfusion MRI in metastatic brain tumors.",/pubmed/30885275,"Chakhoyan A, Raymond C, Chen J, Goldman J, Yao J, Kaprealian TB, Pouratian N, Ellingson BM.",Cancer Imaging. 2019 Mar 18;19(1):14. doi: 10.1186/s40644-019-0201-0.,Cancer Imaging.  2019,PubMed,citation,PMID:30885275 | PMCID:PMC6423873,pubmed,30885275,create date:2019/03/20 | first author:Chakhoyan A,
"White Matter Biomarkers Associated with Motor Change in Individuals with Stroke: A Continuous Theta Burst Stimulation Study.",/pubmed/30863437,"Wadden KP, Peters S, Borich MR, Neva JL, Hayward KS, Mang CS, Snow NJ, Brown KE, Woodward TS, Meehan SK, Boyd LA.",Neural Plast. 2019 Feb 4;2019:7092496. doi: 10.1155/2019/7092496. eCollection 2019.,Neural Plast.  2019,PubMed,citation,PMID:30863437 | PMCID:PMC6378804,pubmed,30863437,create date:2019/03/14 | first author:Wadden KP,
